employee_id,zone,region,urbanity,home_lat,home_lon,job_family,shift_worker,shift_pattern,offpeak_travel,days_on_site_per_week,commute_days_per_month,age,has_children_under12,car_available,green_attitude,already_has_dticket,field_role,boarding_station,boarding_station_id,access_km,access_mode,access_min,wait_min,ride_and_lastmile_min,transfers,pt_total_min,car_km_still_driven,car_km_one_way,car_total_min,car_cost_eur_month,commute_band,pt_vs_car_min,pt_car_time_ratio,active_mobility_candidate
SYN-00001,Hamburg-Wilhelmsburg,Hamburg,urban,53.49111,9.99381,Production & Technical,True,Early (06:00),True,5,19.5,32,False,True,0.852,False,False,Wilhelmsburg,wilhelmsburg,2.39,Feeder bus,16.2,6.0,62.0,1,84.2,0.0,29.77,42.9,348.31,> 60 min,41.3,1.96,False
SYN-00002,Hamburg-Barmbek,Hamburg,urban_core,53.58815,10.02049,Production & Technical,True,Early (06:00),True,5,19.5,48,False,False,1.207,False,False,Alsterdorf,alsterdorf,2.31,Feeder bus,15.9,3.6,33.1,0,52.7,0.0,15.01,27.8,175.62,46–60 min,24.9,1.9,False
SYN-00003,Quickborn,Kr. Pinneberg,suburban,53.72932,9.87636,Office & Commercial,False,Day (08:00),False,2,7.8,45,True,True,-0.133,False,False,Quickborn,quickborn,2.36,Feeder bus,16.1,6.0,42.8,0,64.9,0.0,16.39,23.8,76.72,> 60 min,41.1,2.73,False
SYN-00004,Hamburg-Billstedt/Horn,Hamburg,urban,53.55978,10.07009,Production & Technical,True,Early (06:00),True,5,19.5,51,False,False,-0.299,False,False,Hasselbrook,hasselbrook,2.14,Feeder bus,15.4,6.0,45.8,1,67.2,0.0,19.21,30.1,224.71,> 60 min,37.1,2.23,False
SYN-00005,Hamburg-Langenhorn,Hamburg,urban,53.67301,10.01336,Lab & R&D,False,Day (08:00),False,5,19.5,38,False,True,0.35,False,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,11.4,0,22.4,0.0,3.61,14.3,42.22,≤ 30 min,8.1,1.57,True
SYN-00006,Reinbek/Glinde,Kr. Stormarn,suburban,53.52509,10.2384,Production & Technical,False,Day (08:00),False,5,19.5,32,False,True,-0.35,False,False,Reinbek,reinbek,2.23,Feeder bus,15.7,6.0,75.6,1,97.3,0.0,29.71,41.5,347.62,> 60 min,55.8,2.34,False
SYN-00007,Hamburg-Blankenese/Osdorf,Hamburg,suburban,53.5521,9.78588,Production & Technical,True,Late (14:00),True,5,19.5,52,False,True,0.937,False,False,Blankenese,blankenese,2.51,Feeder bus,16.5,6.0,70.6,1,93.1,0.0,30.79,33.1,360.22,> 60 min,60.0,2.81,False
SYN-00008,Hamburg-Harburg,Hamburg,urban,53.45448,10.01017,Production & Technical,False,Day (08:00),False,5,19.5,36,False,True,2.127,False,False,Harburg,harburg,1.73,Feeder bus,14.2,4.0,65.7,1,83.9,0.0,35.05,44.2,410.04,> 60 min,39.7,1.9,False
SYN-00009,Hamburg-Langenhorn,Hamburg,urban,53.6676,10.03157,Production & Technical,True,Late (14:00),True,5,19.5,44,False,True,1.566,False,False,Local bus stop,local_bus,0.4,Walk to bus stop,5.0,6.0,10.1,0,21.1,0.0,3.19,13.4,37.33,≤ 30 min,7.7,1.57,True
SYN-00010,Hamburg-Eppendorf,Hamburg,urban_core,53.59793,9.97891,Production & Technical,False,Day (08:00),False,5,19.5,25,True,True,-1.518,True,False,Lattenkamp,lattenkamp,1.78,Feeder bus,14.3,2.0,35.3,0,51.6,0.0,14.65,27.5,171.42,46–60 min,24.1,1.88,False
SYN-00011,Hamburg-Winterhude,Hamburg,urban_core,53.58916,9.98842,Office & Commercial,False,Day (08:00),False,3,11.7,36,False,True,0.013,False,False,Kellinghusenstraße,kellinghusenstrasse,0.33,Walk,4.2,2.0,37.8,0,43.9,0.0,15.56,28.1,109.24,31–45 min,15.8,1.56,False
SYN-00012,Uetersen,Kr. Pinneberg,rural,53.6991,9.66071,Production & Technical,False,Day (08:00),False,5,19.5,53,False,False,-0.479,False,False,Tornesch,tornesch,4.92,Feeder bus,23.8,6.0,81.0,1,110.8,0.0,34.33,34.9,401.68,> 60 min,75.9,3.17,False
SYN-00013,Hamburg-Rahlstedt,Hamburg,suburban,53.58867,10.17084,Office & Commercial,False,Day (08:00),False,4,15.6,34,True,True,0.496,False,False,Trabrennbahn,trabrennbahn,7.44,Park+Ride,17.9,2.0,59.3,3,79.2,7.44,18.45,25.4,172.66,> 60 min,53.8,3.12,False
SYN-00014,Henstedt-Ulzburg,Kr. Segeberg,suburban,53.77644,9.9745,Lab & R&D,False,Day (08:00),False,4,15.6,51,True,True,-1.977,False,False,Ulzburg Süd,ulzburg_sued,0.98,Feeder bus,12.0,6.0,36.8,0,54.7,0.0,14.87,22.6,139.22,46–60 min,32.1,2.42,False
